symbol,security_id,exchange,segment,instrument
NUVAMA SEP FUT,52476,NSE,D,FUTSTK
SUZLON SEP FUT,52524,NSE,D,FUTIDX
360ONE SEP FUT,53011,NSE,D,FUTSTK
ABB SEP FUT,53012,NSE,D,FUTSTK
ABCAPITAL SEP FUT,53013,NSE,D,FUTSTK
ADANIENSOL SEP FUT,53014,NSE,D,FUTSTK
ADANIENT SEP FUT,53015,NSE,D,FUTSTK
ADANIGREEN SEP FUT,53016,NSE,D,FUTSTK
ADANIPORTS SEP FUT,53020,NSE,D,FUTSTK
ALKEM SEP FUT,53021,NSE,D,FUTSTK
AMBER SEP FUT,53031,NSE,D,FUTSTK
AMBUJACEM SEP FUT,53032,NSE,D,FUTSTK
ANGELONE SEP FUT,53033,NSE,D,FUTSTK
APLAPOLLO SEP FUT,53034,NSE,D,FUTSTK
APOLLOHOSP SEP FUT,53036,NSE,D,FUTSTK
ASHOKLEY SEP FUT,53037,NSE,D,FUTSTK
ASIANPAINT SEP FUT,53039,NSE,D,FUTSTK
ASTRAL SEP FUT,53040,NSE,D,FUTSTK
AUBANK SEP FUT,53041,NSE,D,FUTSTK
AUROPHARMA SEP FUT,53042,NSE,D,FUTSTK
AXISBANK SEP FUT,53043,NSE,D,FUTSTK
BAJAJ-AUTO SEP FUT,53044,NSE,D,FUTSTK
BAJAJFINSV SEP FUT,53045,NSE,D,FUTSTK
BAJFINANCE SEP FUT,53046,NSE,D,FUTSTK
BANDHANBNK SEP FUT,53047,NSE,D,FUTSTK
BANKBARODA SEP FUT,53048,NSE,D,FUTSTK
BANKINDIA SEP FUT,53049,NSE,D,FUTSTK
BDL SEP FUT,53050,NSE,D,FUTSTK
BEL SEP FUT,53051,NSE,D,FUTSTK
BHARATFORG SEP FUT,53052,NSE,D,FUTSTK
BHARTIARTL SEP FUT,53055,NSE,D,FUTSTK
BHEL SEP FUT,53056,NSE,D,FUTSTK
BIOCON SEP FUT,53057,NSE,D,FUTSTK
BLUESTARCO SEP FUT,53058,NSE,D,FUTSTK
BOSCHLTD SEP FUT,53059,NSE,D,FUTSTK
BPCL SEP FUT,53060,NSE,D,FUTSTK
BRITANNIA SEP FUT,53061,NSE,D,FUTSTK
BSE SEP FUT,53062,NSE,D,FUTSTK
CAMS SEP FUT,53063,NSE,D,FUTSTK
CANBK SEP FUT,53064,NSE,D,FUTSTK
CDSL SEP FUT,53065,NSE,D,FUTSTK
CGPOWER SEP FUT,53066,NSE,D,FUTSTK
CHOLAFIN SEP FUT,53068,NSE,D,FUTSTK
CIPLA SEP FUT,53069,NSE,D,FUTSTK
COALINDIA SEP FUT,53071,NSE,D,FUTSTK
COFORGE SEP FUT,53086,NSE,D,FUTSTK
COLPAL SEP FUT,53087,NSE,D,FUTSTK
CONCOR SEP FUT,53104,NSE,D,FUTSTK
CROMPTON SEP FUT,53105,NSE,D,FUTSTK
CUMMINSIND SEP FUT,53121,NSE,D,FUTSTK
CYIENT SEP FUT,53122,NSE,D,FUTSTK
DABUR SEP FUT,53131,NSE,D,FUTSTK
DALBHARAT SEP FUT,53132,NSE,D,FUTSTK
DELHIVERY SEP FUT,53133,NSE,D,FUTSTK
DIVISLAB SEP FUT,53134,NSE,D,FUTSTK
DIXON SEP FUT,53135,NSE,D,FUTSTK
DLF SEP FUT,53136,NSE,D,FUTSTK
DMART SEP FUT,53138,NSE,D,FUTSTK
DRREDDY SEP FUT,53139,NSE,D,FUTSTK
EICHERMOT SEP FUT,53149,NSE,D,FUTSTK
ETERNAL SEP FUT,53150,NSE,D,FUTSTK
EXIDEIND SEP FUT,53151,NSE,D,FUTSTK
FEDERALBNK SEP FUT,53152,NSE,D,FUTSTK
FORTIS SEP FUT,53154,NSE,D,FUTSTK
